ts_utc,cpu_tempC,disk_free_bytes,throttled
2026-03-03T12:24:54.570+00:00,39.55,235186782208,throttled=0x0
2026-03-03T12:25:04.569+00:00,39.01,235186782208,throttled=0x0
2026-03-03T12:25:14.569+00:00,39.01,235186782208,throttled=0x0
2026-03-03T12:25:24.569+00:00,39.01,235186782208,throttled=0x0
2026-03-03T12:25:34.570+00:00,39.01,235186782208,throttled=0x0
2026-03-03T12:25:44.569+00:00,40.08,235186782208,throttled=0x0
2026-03-03T12:25:54.570+00:00,39.55,235186782208,throttled=0x0
2026-03-03T12:26:04.569+00:00,39.55,235186782208,throttled=0x0
2026-03-03T12:26:14.569+00:00,39.01,235186782208,throttled=0x0
2026-03-03T12:26:24.570+00:00,39.01,235186782208,throttled=0x0
2026-03-03T12:26:34.570+00:00,39.55,235186778112,throttled=0x0
2026-03-03T12:26:44.570+00:00,39.01,235186778112,throttled=0x0
2026-03-03T12:26:54.570+00:00,39.01,235186778112,throttled=0x0
2026-03-03T12:27:04.570+00:00,39.01,235186778112,throttled=0x0
2026-03-03T12:27:14.570+00:00,39.01,235186778112,throttled=0x0
2026-03-03T12:27:24.569+00:00,39.01,235186778112,throttled=0x0
2026-03-03T12:27:34.570+00:00,39.01,235186778112,throttled=0x0
2026-03-03T12:27:44.570+00:00,39.01,235186778112,throttled=0x0
2026-03-03T12:27:54.569+00:00,39.01,235186778112,throttled=0x0
2026-03-03T12:28:04.569+00:00,39.01,235186778112,throttled=0x0
2026-03-03T12:28:14.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:28:24.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:28:34.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:28:44.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:28:54.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:29:04.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:29:14.570+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:29:24.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:29:34.569+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:29:44.569+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:29:54.569+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:30:04.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:30:14.570+00:00,40.08,235186774016,throttled=0x0
2026-03-03T12:30:24.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:30:34.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:30:44.570+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:30:54.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:31:04.570+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:31:14.570+00:00,40.08,235186774016,throttled=0x0
2026-03-03T12:31:24.570+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:31:34.570+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:31:44.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:31:54.570+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:32:04.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:32:14.569+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:32:24.569+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:32:34.570+00:00,40.08,235186774016,throttled=0x0
2026-03-03T12:32:44.570+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:32:54.569+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:33:04.569+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:33:14.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:33:24.570+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:33:34.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:33:44.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:33:54.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:34:04.570+00:00,40.08,235186774016,throttled=0x0
