ts_utc,bmp_tempC_mean,bmp_pressurePa_mean,bmp_pressure_hPa,smq_tempC_interp,smq_mslp_hPa_interp,temp_diff_C,pressure_diff_hPa,session,run_label,run_date
2026-03-15 12:00:00+00:00,25.19394,103023.437,1030.2343700000001,0.8796296296296297,1030.9416666666666,24.31431037037037,-0.7072966666664797,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 12:10:00+00:00,25.14186,103015.862,1030.15862,1.3425925925925926,1030.8583333333333,23.79926740740741,-0.6997133333334205,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 12:20:00+00:00,25.080277777777777,102983.02888888888,1029.8302888888888,1.8055555555555556,1030.775,23.27472222222222,-0.9447111111112463,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 12:30:00+00:00,25.02988,102971.99,1029.7199,2.268518518518518,1030.6916666666666,22.76136148148148,-0.9717666666665536,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 12:40:00+00:00,24.98197,102972.824,1029.72824,2.731481481481482,1030.6083333333333,22.25048851851852,-0.8800933333334342,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 12:50:00+00:00,24.99477,102967.394,1029.67394,3.1944444444444446,1030.525,21.800325555555553,-0.8510600000001887,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 13:00:00+00:00,24.9631,102953.149,1029.53149,3.5925925925925926,1030.57,21.37050740740741,-1.0385099999998602,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 13:10:00+00:00,24.90853,102971.918,1029.71918,3.962962962962963,1030.67,20.945567037037037,-0.9508200000000215,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 13:20:00+00:00,24.90354,103008.061,1030.08061,4.333333333333333,1030.77,20.570206666666667,-0.6893900000000031,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 13:30:00+00:00,24.869411111111116,103026.42888888888,1030.2642888888888,4.703703703703704,1030.87,20.16570740740741,-0.6057111111110771,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 13:40:00+00:00,24.84859,103037.834,1030.37834,5.074074074074074,1030.97,19.774515925925925,-0.5916600000000471,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 13:50:00+00:00,24.95571,103041.816,1030.4181600000002,5.444444444444445,1031.07,19.511265555555553,-0.6518399999997655,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 14:00:00+00:00,25.06282,103041.091,1030.41091,5.685185185185185,1031.0883333333331,19.37763481481481,-0.6774233333330812,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 14:10:00+00:00,25.06013,103042.892,1030.42892,5.87037037037037,1031.0716666666667,19.18975962962963,-0.6427466666666533,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 14:20:00+00:00,25.04355,103043.469,1030.43469,6.055555555555555,1031.0549999999998,18.987994444444446,-0.6203099999997903,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 14:30:00+00:00,25.0192,103055.90444444444,1030.5590444444445,6.2407407407407405,1031.0383333333334,18.77845925925926,-0.47928888888895926,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 14:40:00+00:00,24.9923,103042.456,1030.4245600000002,6.4259259259259265,1031.0216666666665,18.566374074074073,-0.5971066666663774,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 14:50:00+00:00,25.00627,103040.006,1030.40006,6.611111111111112,1031.005,18.39515888888889,-0.6049400000001697,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 15:00:00+00:00,24.99517,103031.276,1030.31276,6.601851851851852,1030.9533333333334,18.39331814814815,-0.6405733333333501,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 15:10:00+00:00,24.94389,103017.277,1030.1727700000001,6.5092592592592595,1030.8866666666665,18.43463074074074,-0.7138966666664146,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 15:20:00+00:00,24.93563,103008.729,1030.0872900000002,6.416666666666667,1030.82,18.518963333333332,-0.7327099999997699,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 15:30:00+00:00,24.92514,103014.636,1030.14636,6.324074074074074,1030.7533333333333,18.601065925925923,-0.6069733333333716,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 15:40:00+00:00,25.05971111111111,103004.21555555557,1030.0421555555556,6.231481481481482,1030.6866666666665,18.82822962962963,-0.6445111111108872,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 15:50:00+00:00,25.07325,102996.966,1029.96966,6.138888888888889,1030.62,18.934361111111112,-0.6503399999999147,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 16:00:00+00:00,25.05963,102988.736,1029.88736,6.046296296296297,1030.5416666666665,19.0133337037037,-0.6543066666665709,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 16:10:00+00:00,25.01884,102971.118,1029.71118,5.953703703703704,1030.4583333333333,19.065136296296295,-0.7471533333332445,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 16:20:00+00:00,24.990450000000003,102953.204,1029.53204,5.861111111111112,1030.375,19.129338888888892,-0.8429599999999482,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 16:30:00+00:00,24.98425,102953.387,1029.53387,5.768518518518519,1030.2916666666665,19.21573148148148,-0.7577966666665361,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 16:40:00+00:00,24.94991,102949.129,1029.49129,5.675925925925926,1030.2083333333333,19.27398407407407,-0.7170433333333222,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 16:50:00+00:00,24.91922222222222,102936.43,1029.3643,5.583333333333333,1030.125,19.33588888888889,-0.7607000000000426,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 17:00:00+00:00,24.92617,102920.163,1029.20163,5.555555555555555,1030.0416666666665,19.370614444444442,-0.8400366666664922,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 17:10:00+00:00,25.07803,102919.87,1029.1987,5.555555555555555,1029.9583333333333,19.52247444444444,-0.7596333333333405,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 17:20:00+00:00,25.11002,102902.622,1029.02622,5.555555555555555,1029.875,19.55446444444444,-0.8487800000000334,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 17:30:00+00:00,25.07095,102886.795,1028.86795,5.555555555555555,1029.7916666666665,19.515394444444446,-0.9237166666664507,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 17:40:00+00:00,24.98176,102860.299,1028.60299,5.555555555555555,1029.7083333333333,19.426204444444444,-1.1053433333331668,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 17:50:00+00:00,25.28628,102841.42,1028.4142,5.555555555555555,1029.625,19.730724444444448,-1.210800000000063,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 18:00:00+00:00,25.54047,102820.595,1028.20595,5.555555555555555,1029.4833333333333,19.984914444444442,-1.2773833333333187,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 18:10:00+00:00,25.738544444444443,102812.36444444444,1028.1236444444444,5.555555555555555,1029.3166666666666,20.182988888888886,-1.1930222222222255,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 18:20:00+00:00,25.74812,102822.728,1028.22728,5.555555555555555,1029.1499999999999,20.192564444444443,-0.9227199999997993,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 18:30:00+00:00,25.74833,102811.243,1028.1124300000001,5.555555555555555,1028.9833333333333,20.192774444444446,-0.8709033333332172,39,Run 3 (2026-03-11),2026-03-11
