ts_utc,outdoor_tempC,outdoor_mslp_hPa,session,run_label,run_date
2026-03-01 15:10:00+00:00,2.4537037037037037,1022.1983333333334,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 15:20:00+00:00,2.916666666666667,1022.315,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 15:30:00+00:00,3.3796296296296298,1022.4316666666667,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 15:40:00+00:00,3.8425925925925926,1022.5483333333334,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 15:50:00+00:00,4.305555555555555,1022.6650000000001,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 16:00:00+00:00,4.444444444444445,1022.7583333333333,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 16:10:00+00:00,4.444444444444445,1022.8416666666667,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 16:20:00+00:00,4.444444444444445,1022.9250000000001,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 16:30:00+00:00,4.444444444444445,1023.0083333333333,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 16:40:00+00:00,4.444444444444445,1023.0916666666667,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 16:50:00+00:00,4.444444444444445,1023.1750000000001,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 17:00:00+00:00,4.444444444444445,1023.1650000000001,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 17:10:00+00:00,4.444444444444445,1023.115,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 17:20:00+00:00,4.444444444444445,1023.065,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 17:30:00+00:00,4.444444444444445,1023.015,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 17:40:00+00:00,4.444444444444445,1022.965,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 17:50:00+00:00,4.444444444444445,1022.915,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 18:00:00+00:00,4.574074074074074,1022.9116666666666,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 18:10:00+00:00,4.7592592592592595,1022.9283333333333,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 18:20:00+00:00,4.944444444444445,1022.9449999999999,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 18:30:00+00:00,5.12962962962963,1022.9616666666667,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 18:40:00+00:00,5.314814814814815,1022.9783333333334,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 18:50:00+00:00,5.5,1022.995,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 19:00:00+00:00,5.62037037037037,1023.0583333333333,1,Run 1 (2026-03-01),2026-03-01
2026-03-01 19:10:00+00:00,5.712962962962963,1023.1416666666667,1,Run 1 (2026-03-01),2026-03-01
