n_bins,end_ts_utc,elapsed_days,joint_p_value,amp_pct
848,2026-03-13 18:40:00+00:00,12.770833333333334,0.28132987228957007,0.6374779262089619
872,2026-03-13 22:40:00+00:00,12.9375,0.30607480168654355,0.613987321868789
896,2026-03-14 02:40:00+00:00,13.104166666666666,0.27656803070994085,0.6255987848623763
920,2026-03-14 06:40:00+00:00,13.270833333333334,0.29417099764419435,0.596813458157402
944,2026-03-14 10:40:00+00:00,13.4375,0.24268880831578896,0.6425856776444772
968,2026-03-14 14:40:00+00:00,13.604166666666666,0.3267900490293871,0.5749361013709666
992,2026-03-14 18:40:00+00:00,13.770833333333334,0.3261954086088255,0.5616982972043685
1016,2026-03-14 22:40:00+00:00,13.9375,0.40612882014866447,0.49076200485363924
1040,2026-03-15 02:40:00+00:00,14.104166666666666,0.27793518678092766,0.580916531255581
1064,2026-03-15 06:40:00+00:00,14.270833333333334,0.223162016208722,0.612358314587325
1088,2026-03-15 10:40:00+00:00,14.4375,0.17681799840246268,0.6500484501022346
1112,2026-03-15 14:40:00+00:00,14.604166666666666,0.1905890053512282,0.6307679383527041
1136,2026-03-15 18:40:00+00:00,14.770833333333334,0.38990635244476546,0.47511318173054895
1160,2026-03-15 22:40:00+00:00,14.9375,0.41295195943049834,0.45245333627645284
1184,2026-03-16 02:40:00+00:00,15.104166666666666,0.3942353619024146,0.46177650715656043
1208,2026-03-16 06:40:00+00:00,15.270833333333334,0.443883408986403,0.4201162687500663
1232,2026-03-16 10:40:00+00:00,15.4375,0.4300653959075732,0.41965435742178075
1256,2026-03-16 14:40:00+00:00,15.604166666666666,0.48324051472855,0.3899833876450613
1280,2026-03-16 18:40:00+00:00,15.770833333333334,0.5993708105991431,0.32610563181090085
1304,2026-03-16 22:40:00+00:00,15.9375,0.6653952111360154,0.2882049376642786
1328,2026-03-17 02:40:00+00:00,16.104166666666668,0.6568868974671044,0.291179519029837
1352,2026-03-17 06:40:00+00:00,16.270833333333332,0.7909350666593553,0.21220349337432012
1376,2026-03-17 10:40:00+00:00,16.4375,0.802945002242678,0.2027116543435108
1400,2026-03-17 14:40:00+00:00,16.604166666666668,0.7713209399088718,0.22102272796510175
1424,2026-03-17 18:40:00+00:00,16.770833333333332,0.7806339028730631,0.21282031261278225
1448,2026-03-17 22:40:00+00:00,16.9375,0.7044931257043692,0.2516101319930992
1472,2026-03-18 02:40:00+00:00,17.104166666666668,0.7272134738452867,0.242261156514814
1496,2026-03-18 06:40:00+00:00,17.270833333333332,0.8331580989202366,0.18691610031643285
1520,2026-03-18 10:40:00+00:00,17.4375,0.6604197469212385,0.2778307410918431
1544,2026-03-18 14:40:00+00:00,17.604166666666668,0.6118579908166523,0.3017580442054173
1568,2026-03-18 18:40:00+00:00,17.770833333333332,0.5813422449659558,0.3143062005442621
1592,2026-03-18 22:40:00+00:00,17.9375,0.7029180464781717,0.2542043697189613
1616,2026-03-19 02:40:00+00:00,18.104166666666668,0.6481255302683473,0.2843416217711713
1640,2026-03-19 06:40:00+00:00,18.270833333333332,0.6221848072702694,0.2949725648673046
1664,2026-03-19 10:40:00+00:00,18.4375,0.6093483519581115,0.29627596828845043
1688,2026-03-19 16:50:00+00:00,18.694444444444443,0.6227754332727731,0.2875223015483507
1712,2026-03-19 20:50:00+00:00,18.86111111111111,0.574902682743539,0.31127216724434353
1736,2026-03-20 00:50:00+00:00,19.02777777777778,0.561553744769898,0.3164826445206342
