window_start_utc,window_end_utc,n_samples,bmp_tempC_mean,bmp_pressurePa_mean,bmp_altitudeM_est_mean
2026-03-12T02:06:13.885+00:00,2026-03-12T02:07:14.880+00:00,61,28.7731,100373.31,79.5255
2026-03-12T02:07:14.881+00:00,2026-03-12T02:08:14.883+00:00,60,28.7665,100374.23,79.4348
2026-03-12T02:08:14.885+00:00,2026-03-12T02:09:15.884+00:00,61,28.7569,100369.87,79.7679
2026-03-12T02:09:15.886+00:00,2026-03-12T02:10:16.881+00:00,61,28.7406,100366.17,80.0962
2026-03-12T02:10:16.883+00:00,2026-03-12T02:11:17.884+00:00,61,28.7257,100366.08,80.1244
2026-03-12T02:11:17.886+00:00,2026-03-12T02:12:18.884+00:00,61,28.7112,100368.57,79.9254
2026-03-12T02:12:18.886+00:00,2026-03-12T02:13:19.883+00:00,61,28.6868,100368.57,79.8497
2026-03-12T02:13:19.885+00:00,2026-03-12T02:14:20.882+00:00,61,28.6804,100370.60,79.7472
2026-03-12T02:14:20.884+00:00,2026-03-12T02:15:21.883+00:00,61,28.6710,100370.17,79.7665
2026-03-12T02:15:21.885+00:00,2026-03-12T02:16:22.884+00:00,61,28.6638,100371.57,79.6538
2026-03-12T02:16:22.886+00:00,2026-03-12T02:17:23.884+00:00,61,28.6601,100373.09,79.5297
2026-03-12T02:17:23.892+00:00,2026-03-12T02:18:24.880+00:00,61,28.6580,100371.20,79.6734
2026-03-12T02:18:24.882+00:00,2026-03-12T02:19:25.882+00:00,61,28.6565,100371.28,79.7086
2026-03-12T02:19:25.884+00:00,2026-03-12T02:20:26.882+00:00,61,28.6548,100368.79,79.8716
2026-03-12T02:20:26.884+00:00,2026-03-12T02:21:27.881+00:00,61,28.6500,100364.77,80.2212
2026-03-12T02:21:27.883+00:00,2026-03-12T02:22:28.883+00:00,61,28.6481,100363.92,80.2590
2026-03-12T02:22:28.885+00:00,2026-03-12T02:23:29.883+00:00,61,28.6448,100364.14,80.2717
2026-03-12T02:23:29.885+00:00,2026-03-12T02:24:30.882+00:00,61,28.6425,100362.40,80.4300
2026-03-12T02:24:30.893+00:00,2026-03-12T02:25:31.882+00:00,61,28.6410,100359.42,80.6494
2026-03-12T02:25:31.884+00:00,2026-03-12T02:26:32.882+00:00,61,28.6368,100355.20,80.9910
2026-03-12T02:26:32.885+00:00,2026-03-12T02:27:33.880+00:00,61,28.6346,100351.11,81.3543
2026-03-12T02:27:33.882+00:00,2026-03-12T02:28:33.883+00:00,60,28.6313,100344.13,81.8708
2026-03-12T02:28:33.886+00:00,2026-03-12T02:29:34.879+00:00,61,28.6307,100340.73,82.2185
2026-03-12T02:29:34.881+00:00,2026-03-12T02:30:34.882+00:00,60,28.6274,100338.72,82.4135
2026-03-12T02:30:34.884+00:00,2026-03-12T02:31:35.880+00:00,61,28.6253,100330.23,83.1016
2026-03-12T02:31:35.882+00:00,2026-03-12T02:32:35.884+00:00,60,28.6242,100320.15,84.0778
2026-03-12T02:32:35.885+00:00,2026-03-12T02:33:36.881+00:00,61,28.6241,100311.10,84.7720
2026-03-12T02:33:36.883+00:00,2026-03-12T02:34:37.880+00:00,61,28.6259,100303.83,85.3325
2026-03-12T02:34:37.882+00:00,2026-03-12T02:35:38.883+00:00,61,28.6332,100296.91,85.8974
2026-03-12T02:35:38.885+00:00,2026-03-12T02:36:39.881+00:00,61,28.6295,100292.52,86.3058
2026-03-12T02:36:39.882+00:00,2026-03-12T02:37:40.882+00:00,61,28.6242,100289.46,86.5425
2026-03-12T02:37:40.884+00:00,2026-03-12T02:38:41.884+00:00,61,28.6165,100283.53,86.9917
2026-03-12T02:38:41.886+00:00,2026-03-12T02:39:42.881+00:00,61,28.6082,100279.88,87.3239
2026-03-12T02:39:42.883+00:00,2026-03-12T02:40:43.882+00:00,61,28.6026,100277.52,87.4985
2026-03-12T02:40:43.884+00:00,2026-03-12T02:41:44.879+00:00,61,28.5986,100275.16,87.6893
2026-03-12T02:41:44.881+00:00,2026-03-12T02:42:44.881+00:00,60,28.5906,100273.57,87.8543
2026-03-12T02:42:44.883+00:00,2026-03-12T02:43:45.881+00:00,61,28.5809,100273.23,87.8797
2026-03-12T02:43:45.882+00:00,2026-03-12T02:44:45.884+00:00,60,28.5765,100272.20,87.9805
2026-03-12T02:44:45.887+00:00,2026-03-12T02:45:46.881+00:00,61,28.5761,100272.40,87.9299
2026-03-12T02:45:46.883+00:00,2026-03-12T02:46:47.883+00:00,61,28.5777,100271.06,88.0353
2026-03-12T02:46:47.887+00:00,2026-03-12T02:47:48.879+00:00,61,28.5780,100264.08,88.6560
2026-03-12T02:47:48.881+00:00,2026-03-12T02:48:48.884+00:00,60,28.5800,100258.43,89.0610
2026-03-12T02:48:48.887+00:00,2026-03-12T02:49:49.879+00:00,61,28.5790,100258.18,89.1269
2026-03-12T02:49:49.881+00:00,2026-03-12T02:50:49.882+00:00,60,28.5806,100261.39,88.9228
2026-03-12T02:50:49.884+00:00,2026-03-12T02:51:50.883+00:00,61,28.5783,100260.13,89.0025
2026-03-12T02:51:50.885+00:00,2026-03-12T02:52:51.883+00:00,61,28.5763,100253.30,89.5745
2026-03-12T02:52:51.885+00:00,2026-03-12T02:53:52.882+00:00,61,28.5737,100257.20,89.2868
2026-03-12T02:53:52.884+00:00,2026-03-12T02:54:53.881+00:00,61,28.5721,100262.32,88.7850
2026-03-12T02:54:53.883+00:00,2026-03-12T02:55:54.883+00:00,61,28.5701,100262.18,88.8072
2026-03-12T02:55:54.885+00:00,2026-03-12T02:56:55.882+00:00,61,28.5685,100257.71,89.2047
2026-03-12T02:56:55.884+00:00,2026-03-12T02:57:56.880+00:00,61,28.5653,100252.86,89.5860
2026-03-12T02:57:56.883+00:00,2026-03-12T02:58:57.883+00:00,61,28.5649,100250.23,89.8418
2026-03-12T02:58:57.885+00:00,2026-03-12T02:59:58.883+00:00,61,28.5662,100249.35,89.9410
2026-03-12T02:59:58.885+00:00,2026-03-12T03:00:59.884+00:00,61,28.5647,100250.02,89.8429
2026-03-12T03:00:59.886+00:00,2026-03-12T03:02:00.884+00:00,61,28.5653,100249.45,89.8940
2026-03-12T03:02:00.886+00:00,2026-03-12T03:03:01.882+00:00,61,28.5654,100246.60,90.1082
